No.,Formula,Name,CAS,minimum temperature,maximum temperature,a0,a1,a2,a3,a4,ideal gas heat capacity at 298.15,Eq
154,C₆H₁₂O,3-hexanone (ethyl propyl ketone),589-38-8,200,1000,9.357,13.505,8.735,-11.918,4.710,152.51,1
155,C6H14,hexane,110-54-3,200,1000,8.831,-0.166,14.302,-18.314,7.124,142.59,1
156,C6H14,2-methylpentane,107-83-5,200,1000,2.096,46.419,3.124,-6.829,2.902,142.21,1
157,C6H14,3-methylpentane,96-14-0,200,1000,0.433,11.143,0.730,-1.612,0.690,140.10,1
158,C6H14,"2,2-dimethylbutane",75-83-2,200,1000,3.007,39.059,4.851,-8.243,3.367,141.50,1
159,C6H14,"2,3-dimethylbutane",79-29-8,200,1000,-2.214,74.352,-3.697,0.273,0.308,139.41,1
160,C6H14O,1-hexanol,111-27-3,200,1000,6.784,17.060,11.935,-17.147,6.985,153.30,1
161,C6H15N,"N,N-diethylethanamine (triethyl amine)",121-44-8,298,1000,4.581,40.089,5.793,-10.032,4.193,161.00,1
162,C7F16,hexadecafluoroheptane,335-57-9,200,1000,3.002,170.245,-21.365,13.301,-3.341,316.03,1
163,C7H5F5,pentafluorotoluene,771-56-2,298,1000,6.079,48.333,0.158,-3.861,1.948,164.30,1
164,C7H8,toluene,108-88-3,50,1000,3.866,3.558,13.356,-18.659,7.690,103.75,1
165,C7H8O,2-methylphenol (o-cresol),95-48-7,50,1000,3.123,31.032,6.152,-10.805,4.642,127.30,1
166,C7H8O,3-methylphenol (m-cresol),108-39-4,50,1000,2.876,26.142,8.544,-14.238,6.189,124.68,1
167,C7H8O,4-methylphenol (p-cresol),106-44-5,50,1000,2.881,27.407,7.943,-13.423,5.843,124.97,1
168,C7H9N,"2,3-dimethylpyridine (2,3 lutidine)",108-47-4,50,1000,4.225,13.393,11.364,-16.169,6.585,120.97,1
169,C7H9N,"2,4-dimethylpyridine (2,4 lutidine)",589-93-5,50,1000,4.247,13.487,11.535,-16.564,6.803,122.01,1
170,C7H9N,"2,5-dimethylpyridine (2,5 lutidine)",108-48-5,50,1000,4.183,14.253,11.226,-16.133,6.610,121.86,1
171,C7H9N,"2,6-dimethylpyridine (2,6 lutidine)",583-58-4,50,1000,3.413,31.807,5.284,-8.851,3.610,128.75,1
172,C7H9N,"3,4-dimethylpyridine (3,4 lutidine)",591-22-0,50,1000,4.135,15.216,10.792,-15.509,6.324,121.78,1
173,C7H14,"3,5-dimethylpyridine (3,5 lutidine)",291-64-5,50,1000,3.995,5.299,17.971,-24.179,9.665,132.01,1
174,C7H14,methylcyclohexane,108-87-2,50,1000,3.148,18.438,13.624,-18.793,7.364,135.80,1
175,C7H14,ethylcyclopentane,1640-89-7,50,1000,5.847,-0.048,17.507,-22.495,8.656,133.60,1
176,C7H14,"cis-1,3-dimethylcyclopentane",2532-58-3,298,1000,-2.522,60.538,2.703,-7.572,3.361,134.50,1
177,C7H14,"trans-1,3-dimethylcyclopentane",1759-58-6,298,1000,-2.522,60.538,2.703,-7.572,3.361,134.50,1
178,C7H14,1-heptene,592-76-7,200,1000,7.520,12.824,12.670,-17.578,7.035,153.46,1
179,C₇H₁₆,heptane,142-82-5,200,1000,9.634,4.156,15.494,-20.066,7.770,165.20,1
180,C₇H₁₆,2-methylhexane,591-76-4,200,1000,3.452,46.373,5.446,-9.875,4.089,164.50,1
181,C₇H₁₆,3-ethylpentane,617-78-7,200,1000,7.598,19.547,11.641,-16.107,6.378,166.00,1
182,C₇H₁₆,"2,2-dimethylpentane",590-35-2,200,1000,1.315,60.462,2.813,-7.620,3.434,166.70,1
183,C₇H₁₆,"2,3-dimethylpentane",565-59-3,200,1000,-4.314,96.708,-6.454,2.227,-0.313,160.83,1
184,C₇H₁₆,"2,4-dimethylpentane",108-08-7,200,1000,-3.133,97.923,-6.912,2.424,-0.250,170.75,1
185,C₇H₁₆,"3,3-dimethylpentane",562-49-2,200,1000,-0.480,73.415,-0.740,-3.562,1.822,165.80,1
186,C₇H₁₆,"2,2,3-trimethylbutane",464-06-2,200,1000,-0.711,73.562,-1.007,-3.018,1.583,163.30,1
187,C₇H₁₆O,1-heptanol,111-70-6,200,1000,7.935,18.023,14.223,-20.320,8.262,175.90,1
188,C₈F₁₈,octadecafluorooctane,307-34-6,200,1000,3.352,193.679,-24.528,15.491,-3.962,358.07,1
189,C₈H₁₀,ethylbenzene,100-41-4,50,1000,4.544,10.578,13.644,-19.276,7.885,127.40,1
190,C₈H₁₀,"1,2-dimethylbenzene (o-xylene)",95-47-6,50,1000,3.289,34.144,4.989,-8.335,3.338,132.31,1
191,C₈H₁₀,"1,3-dimethylbenzene (m-xylene)",108-38-3,50,1000,4.002,17.537,10.590,-15.037,6.008,125.71,1
192,C₈H₁₀,"1,4-dimethylbenzene (p-xylene)",106-42-3,50,1000,4.113,14.909,11.810,-16.724,6.736,126.02,1
193,C₈H₁₀O,2-ethylphenol,90-00-6,298,1000,-2.392,82.472,-4.476,0.434,0.890,151.16,1
194,C₈H₁₀O,3-ethylphenol,620-17-7,298,1000,-4.029,90.167,-5.877,0.702,0.546,148.54,1
195,C₈H₁₀O,4-ethyl-phenol,123-07-9,298,1000,-3.628,88.368,-5.660,0.616,0.548,148.83,1
196,C₈H₁₀O,"2,4-dimethylphenol (2,4 xylenol)",105-67-9,50,1000,3.752,41.738,5.814,-11.112,4.855,156.10,1
197,C₈H₁₀O,"2,5-dimethylphenol (2,5 xylenol)",95-87-4,50,1000,3.008,50.507,2.960,-7.548,3.351,157.09,1
198,C₈H₁₀O,"2,6-dimethylphenol (2,6 xylenol)",576-26-1,50,1000,2.604,51.990,2.683,-7.380,3.340,155.97,1
199,C₈H₁₀O,"3,4-dimethylphenol (3,4 xylenol)",95-65-8,50,1000,1.407,67.846,-1.345,-3.401,1.952,163.52,1
200,C₈H₁₀O,"3,5-dimethylphenol (3,5 xylenol)",108-68-9,50,1000,2.869,43.266,5.901,-11.468,5.053,152.70,1
201,C₈H₁₆,cyclooctane,292-64-8,50,1000,4.236,13.119,16.313,-21.072,7.987,146.19,1
202,C₈H₁₆,"t-1,4-dimethylcyclohexane",2207-04-7,50,1000,3.902,20.058,15.345,-20.707,7.974,155.19,1
203,C₈H₁₆,1-octene,111-66-0,200,1000,8.745,13.240,15.096,-20.895,8.366,176.10,1
204,C₈H₁₈,octane,111-65-9,200,1000,10.824,4.983,17.751,-23.137,8.980,187.78,1
205,C₈H₁₈,2-methylheptane,592-27-8,200,1000,5.257,41.188,9.739,-15.692,6.570,187.23,1
206,C₈H₁₈,4-methylheptane,589-53-7,200,1000,2.182,62.828,4.419,-10.021,4.358,187.02,1
207,C₈H₁₈,3-ethylhexane,619-99-8,200,1000,7.178,33.720,10.365,-15.312,6.088,189.62,1
208,C₈H₁₈,"2,2-dimethylhexane",590-73-8,200,1000,3.452,55.222,6.066,-11.271,4.732,188.30,1
209,C₈H₁₈,"2,3-dimethylhexane",584-94-1,200,1000,-3.594,100.983,-4.880,-0.342,0.789,184.10,1
210,C₈H₁₈,"2,4-dimethylhexane",589-43-5,200,1000,-3.372,108.645,-7.267,2.176,-0.103,192.30,1
211,C₈H₁₈,"2,5-dimethylhexane",592-13-2,200,1000,-1.367,87.285,-1.799,-3.343,1.857,185.48,1
212,C₈H₁₈,"3,3-dimethylhexane",563-16-6,200,1000,-2.093,94.480,-2.808,-2.811,1.816,190.87,1
213,C₈H₁₈,"3,4-dimethylhexane",583-48-2,200,1000,-6.148,116.522,-8.351,2.961,-0.344,182.34,1
214,C₈H₁₈,3-ethyl-2-methylpentane,609-26-7,200,1000,-0.873,95.193,-5.319,1.180,0.000,192.05,1
215,C₈H₁₈,3-ethyl-3-methylpentane,1067-08-9,200,1000,-1.350,88.584,-1.961,-3.139,1.789,187.99,1
216,C₈H₁₈,"2,2,3-trimethylpentane",564-02-3,200,1000,-4.490,108.022,-6.486,1.441,0.142,185.64,1
217,C₈H₁₈,"2,2,4-trimethylpentane (isooctane)",540-84-1,200,1000,0.384,77.059,0.665,-5.565,2.619,188.41,1
218,C₈H₁₈,"2,3,3-trimethylpentane",560-21-4,200,1000,-5.726,117.939,-8.940,4.012,-0.816,187.02,1
219,C₈H₁₈,"2,2,3,3-tetramethylbutane",594-82-1,200,1000,0.768,72.950,1.659,-6.322,2.886,187.19,1
220,C₈H₁₈O,1-octanol,111-87-5,200,1000,9.193,18.228,16.682,-23.641,9.580,198.60,1
221,C₉F₂₀,eicosafluorononane,375-96-2,200,1000,3.697,217.163,-27.706,17.697,-4.589,400.11,1
222,C₉H₁₂,propylbenzene,103-65-1,50,1000,4.759,23.956,11.859,-17.393,7.064,152.30,1
223,C₉H₁₂,1-methylethylbenzene (cumene),98-82-8,50,1000,2.985,34.196,11.938,-20.152,8.923,159.69,1
224,C₉H₁₂,1-ethyl-4-methylbenzene,622-96-8,50,1000,5.097,17.385,13.600,-19.299,7.817,148.25,1
225,C₉H₁₂,"1,2,3-trimethylbenzene",526-73-8,50,1000,4.042,31.152,10.185,-16.262,6.922,155.07,1
226,C₉H₁₂,"1,2,4-trimethylbenzene",95-63-6,50,1000,5.319,20.074,12.034,-16.873,6.687,149.71,1
227,C₉H₁₂,"1,3,5-trimethylbenzene (mesitylene)",108-67-8,50,1000,5.305,20.039,11.606,-16.317,6.503,147.63,1
228,C₉H₁₈,1-nonene,124-11-8,200,1000,9.963,13.704,17.511,-24.203,9.694,198.74,1
229,C₉H₂₀,nonane,111-84-2,200,1000,12.152,4.575,20.416,-26.777,10.465,210.41,1
230,C₉H₂₀,2-methyloctane,3221-61-2,200,1000,5.914,47.039,10.387,-16.686,6.852,212.05,1
231,C₉H₂₀,"2,2,5-trimethylhexane",3522-94-9,200,1000,-0.880,92.152,-0.423,-5.261,2.601,208.11,1
232,C₉H₂₀,"2,2,3,3-tetramethylpentane",7154-79-2,200,1000,-6.019,131.511,-9.916,4.520,-0.934,209.80,1
233,C₉H₂₀,"2,2,3,4-tetramethylpentane",1186-53-4,200,1000,-5.422,123.507,-8.031,2.590,-0.261,207.30,1
234,C₉H₂₀,"2,2,4,4-tetramethylpentane",1070-87-7,200,1000,3.621,67.875,4.875,-10.109,4.292,214.94,1
235,C₉H₂₀,"2,3,3,4-tetramethylpentane",16747-38-9,200,1000,-9.189,161.921,-17.927,12.689,-3.869,218.30,1
236,C₉H₂₀O,1-nonanol,143-08-8,200,1000,10.350,19.105,19.007,-26.878,10.891,221.20,1
237,C₁₀F₂₂,docosafluorodecane,307-45-9,200,1000,4.042,240.657,-30.888,19.907,-5.219,442.15,1
238,C₁₀H₈,naphthalene,91-20-3,50,1000,2.889,14.306,15.978,-23.930,10.173,132.55,1
239,C₁₀H₁₄,butylbenzene,104-51-8,200,1000,6.490,19.080,15.665,-22.059,8.887,173.86,1
240,C₁₀H₁₄,"1,4-diethylbenzene",105-05-5,298,1000,-0.359,75.371,0.442,-5.736,2.783,176.15,1
241,C₁₀H₁₄,"1,2,4,5-tetramethylbenzene",95-93-2,298,1000,3.352,67.376,0.527,-4.883,2.290,186.50,1
242,C₁₀H₁₈,cis-bicyclo[4.4.0]decane (cis-decalin),493-01-6,298,1000,-5.445,80.068,5.065,-11.756,5.088,168.10,1
243,C₁₀H₁₈,trans-bicyclo[4.4.0]decane (trans-decalin),493-02-7,298,1000,-2.155,53.852,12.610,-20.981,9.066,168.60,1
244,C₁₀H₂₀,1-decene,872-05-9,200,1000,11.175,14.222,19.908,-27.488,11.012,221.97,1
245,C₁₀H₂₂,decane,124-18-5,200,1000,13.467,4.139,23.127,-30.477,11.970,233.05,1
246,C₁₀H₂₂,"2,2,5-trimethylheptane",20291-95-6,200,1000,-0.961,100.294,0.237,-6.883,3.357,229.20,1
247,C₁₀H₂₂,"3,3,5-trimethylheptane",7154-80-5,200,1000,-2.999,118.108,-4.182,-2.362,1.717,232.80,1
248,C₁₀H₂₂,"2,2,3,3-tetramethylhexane",13475-81-5,200,1000,-7.678,153.766,-12.616,6.171,-1.323,236.82,1
249,C₁₀H₂₂,"2,2,5,5-tetramethylhexane",1071-81-4,200,1000,-0.8,87.376,3.168,-9.35,4.141,228.78,1
250,C₁₀H₂₂O,1-decanol,112-30-1,200,1000,11.637,19.130,21.517,-30.271,12.247,243.80,1
251,C₁₁H₁₀,1-methylnaphthalene,90-12-0,298,1000,-5.637,98.625,-4.956,-1.033,1.281,159.30,1
252,C₁₁H₁₀,2-methylnaphthalene,91-57-6,298,1000,-4.671,93.882,-4.334,-1.331,1.317,154.60,1
253,C₁₁H₂₄O,1-undecanol,112-42-5,200,1000,12.923,18.973,24.124,-33.816,13.675,267.24,1
254,C₁₂H₁₀,"1,1'-biphenyl",92-52-4,200,1000,-0.843,61.392,6.352,-13.754,6.169,165.28,1
255,C₁₂H₁₂,"1,6-dimethylnaphthalene",575-43-9,298,1000,-4.332,103.947,-4.556,-1.769,1.571,185.10,1
256,C₁₂H₁₂,"2,7-dimethylnaphthalene",582-16-1,298,1000,-3.288,101.288,-4.748,-1.079,1.219,187.08,1
257,C₁₂H₁₈,"1,3,5-triethylbenzene",102-25-0,298,1000,1.319,87.791,1.406,-7.682,3.595,224.42,1
258,C₁₂H₂₄,1-dodecene,112-41-4,200,1000,13.617,15.108,24.747,-34.111,13.669,267.38,1
259,C₁₂H₂₆,dodecane,112-40-3,200,1000,17.229,-7.242,31.922,-42.322,17.022,278.33,1
260,C₁₂H₂₆O,1-dodecanol,112-53-8,200,1000,14.073,19.938,26.412,-36.989,14.951,289.95,1
261,C₁₃H₂₈,tridecane,629-50-5,200,1000,18.546,-7.636,34.604,-45.978,18.509,300.97,1
262,C₁₄H₁₀,phenanthrene,85-01-8,50,1000,2.374,38.372,16.471,-26.813,11.640,185.16,1
263,C₁₄H₁₀,anthracene,120-12-7,50,1000,2.577,31.826,18.811,-29.722,12.840,182.29,1
264,C₁₄H₃₀,tetradecane,629-59-4,200,1000,18.375,6.585,32.307,-42.663,16.590,323.61,1
265,C₁₅H₃₂,pentadecane,629-62-9,200,1000,21.180,-8.424,39.969,-53.290,21.482,346.25,1
266,C₁₆H₃₄,hexadecane,544-76-3,200,1000,39.747,-206.152,114.814,-155.548,67.534,368.89,1
267,C₁₇H₃₆,heptadecane,629-78-7,200,1000,23.813,-9.210,45.333,-60.601,24.455,391.53,1
268,C₁₈H₃₈,octadecane,593-45-3,200,1000,25.130,-9.603,48.015,-64.256,25.942,414.17,1
269,C₁₉H₄₀,nonadecane,629-92-5,200,1000,26.447,-9.998,50.697,-67.912,27.428,436.81,1
270,C₂₀H₄₂,eicosane,112-95-8,200,1000,27.764,-10.389,53.379,-71.567,28.914,459.45,1
271,ClD,deuterium chloride,7698-05-7,50,1000,3.917,-3.965,1.205,-1.323,0.521,29.17,1
272,ClFO₃,perchloryl fluoride,7616-94-6,298,1000,0.470,36.338,-4.796,3.147,-0.83,64.93,1
273,ClH,hydrogen chloride,7647-01-0,50,1000,3.827,-2.936,0.879,-1.031,0.439,29.17,1
274,Cl₂,chlorine,7782-50-5,50,1000,3.0560,5.3708,-0.8098,0.5693,-0.15256,29.14,1
275,DH,deuterium hydride,13983-20-5,50,1000,3.893,-3.508,1.083,-1.337,0.580,29.20,1
276,DI,deuterium iodide,14104-45-1,50,1000,3.741,-2.862,1.000,-1.051,0.382,29.36,1
277,D₂,deuterium,7782-39-0,50,1000,3.590,-0.462,0.057,0.036,-0.026,29.19,1
278,D₂O,deuterium oxide,7789-20-0,50,1000,4.274,-3.465,1.376,-1.482,0.568,34.26,1
279,D₂S,deuterium sulfide,13536-94-2,50,1000,4.290,-3.944,1.974,-2.268,0.872,36.13,1
280,D₃N,trideuteroammonia,13550-49-7,50,1000,4.090,-3.243,2.367,-0.264,0.961,38.23,1
281,FH,hydrogen fluoride,7664-39-3,50,1000,3.901,-3.708,1.165,-1.465,0.639,29.14,1
282,FNO₂,nitrogen dioxyfluoride,10022-50-1,298,1000,1.620,20.883,-2.512,1.586,-0.420,49.89,1
283,F₂,Fluorine,7782-41-4,50,1000,3.347,0.467,0.526,-0.794,0.330,31.30,1
284,F₂O,oxygen difluoride,7783-41-7,50,1000,3.437,5.527,0.502,-1.453,0.735,43.31,1
285,F₄S,sulfur tetrafluoride,7783-60-0,298,1000,-0.808,51.235,-8.251,6.335,-1.887,72.03,1
286,HI,hydrogen iodide,10034-85-2,50,1000,3.648,-1.392,0.389,-0.326,0.110,29.16,1
287,H₂,hydrogen,1333-74-0,50,1000,2.883,3.681,-0.772,0.692,-0.213,28.84,1
288,H₂O,water,7732-18-5,50,1000,4.395,-4.186,1.405,-1.564,0.632,33.58,1
289,H₂S,hydrogen sulfide,7783-06-4,50,1000,4.266,-3.438,1.319,-1.331,0.488,34.12,1
290,H₂S₂,dihydrogen disulfide,13465-07-1,50,1000,3.364,8.093,0.636,-1.991,1.048,49.21,1
291,H₃N,ammonia,7664-41-7,50,1000,4.238,-4.215,2.041,-2.126,0.761,35.65,1
292,H₄N₂,hydrazine,302-01-2,50,1000,3.627,2.239,2.876,-4.060,1.690,49.12,1
293,He,helium,9440-59-7,0,0,2.500,0.000,0.000,0.000,0.000,20.79,1
294,He,helium-3,14762-55-1,0,0,2.500,0.000,0.000,0.000,0.000,20.79,1
295,I2,iodine,7553-56-2,50,1000,3.508,6.303,-1.461,1.470,-0.531,36.88,1
296,Kr,krypton,7439-90-9,0,0,2.500,0.000,0.000,0.000,0.000,20.79,1
297,NO,nitrogen monoxide (nitric oxide),10102-43-9,50,1000,4.534,-7.644,2.066,-2.156,0.806,29.87,1
298,N₂,nitrogen,7727-37-9,50,1000,3.539,-0.261,0.007,0.157,-0.099,29.12,1
299,N₂O,dinitrogen oxide (nitrous oxide),10024-97-2,50,1000,3.165,3.401,0.989,-1.880,0.890,38.64,1
300,N₂O₄,dinitrogen tetroxide (nitrogen dioxide),10544-72-6,50,1000,3.374,27.257,-1.917,-0.616,0.859,81.07,1
301,Ne,neon,7440-01-9,0,0,2.500,0.000,0.000,0.000,0.000,20.79,1
302,O₂,oxygen,7782-44-7,50,1000,3.630,-1.794,0.658,-0.601,0.179,29.38,1
303,O₂S,sulfur dioxide,7446-09-5,50,1000,4.417,-2.234,2.344,-3.271,1.393,40.05,1
304,O₃,ozone,10028-15-6,50,1000,4.106,-3.809,3.131,-4.300,1.813,39.60,1
305,O₃S,sulfur trioxide,7446-11-9,50,1000,3.426,6.479,1.691,-3.356,1.590,50.86,1
306,Rn,radon,10043-92-2,0,0,2.500,0.000,0.000,0.000,0.000,20.79,1
307,S,sulfur,7704-34-9,50,1000,2.803,-0.036,0.143,-0.435,0.268,23.67,1
308,Xe,xenon,7440-63-3,0,0,2.500,0.000,0.000,0.000,0.000,20.79,1
