no.,Name,Formula,CAS no.,molecular weight,C1,C2,C3,C4,C5,Tmin,Cp × 1E-05,Tmax,Cp × 1E-05,Eq
170,Hexanal,C6H12O,66-25-1,100.159,117700.000,3.2952E+02,,,,217.15,1.8926,401.45,2.4999,1
171,Hexane,C6H14,110-54-3,86.175,172120.000,-1.8378E+02,8.8734E-01,,,177.83,1.6750,460.00,2.7534,1
172,Hexanoic acid,C6H12O2,142-62-1,116.158,161980.000,4.4116E+01,7.0900E-01,,,269.25,2.2526,478.85,3.4568,1
173,1-Hexanol,C6H14O,111-27-3,102.175,1638600.000,-1.7261E+04,7.1721E+01,-1.2026E-01,7.1087E-05,228.55,1.9821,460.00,3.5197,1
174,2-Hexanol,C6H14O,626-93-7,102.175,267628.000,-1.0331E+03,3.3519E+00,,,223.00,2.0394,585.30,8.1124,1
175,2-Hexanone,C6H12O,591-78-6,100.159,208250.000,-1.0747E+02,2.0620E-01,7.0293E-04,,217.35,2.0185,460.00,2.7087,1
176,3-Hexanone,C6H12O,589-38-8,100.159,235960.000,-3.4594E+02,9.4278E-01,,,217.50,2.0532,460.00,2.7632,1
177,1-Hexene,C6H12,592-41-6,84.159,164640.000,-2.0037E+02,8.7840E-01,,,133.39,1.5354,336.63,1.9673,1
178,3-Hexyne,C6 H10,928-49-4,82.144,82795.000,2.8340E+02,,,,300.00,1.6781,354.35,1.8322,1
179,Hexyl mercaptan,C6 H14S,111-31-9,118.240,303320.000,-1.0090E+03,3.3885E+00,-2.7620E-03,,192.62,2.1495,430.00,2.7639,1
180,1-Hexyne,C6 H10,693-02-7,82.144,93000.000,3.2600E+02,,,,200.00,1.5820,344.48,2.0530,1
181,2-Hexyne,C6 H10,764-35-2,82.144,94860.000,2.5415E+02,,,,300.00,1.7110,357.67,1.8576,1
182,Hydrazine,H4N2,302-01-2,32.045,79815.000,5.0929E+01,4.3379E-02,,,274.69,0.9708,653.15,1.3158,1
183,Hydrogen ,H2,1333-74-0,2.016,66.653,6.7659E+03,-1.2363E+02,4.7827E+02,,13.95,0.1262,32.00,1.3122,2
184,Hydrogen bromide,HBr,10035-10-6,80.912,57720.000,9.9000E+00,,,,185.15,0.5955,206.45,0.5976,1
185,Hydrogen chloride,HCl,7647-01-0,36.461,47300.000,9.0000E+01,,,,165.00,0.6215,185.00,0.6395,1
186,Hydrogen cyanide,CHN,74-90-8,27.025,95398.000,-1.9752E+02,3.8830E-01,,,259.83,0.7029,298.85,0.7105,1
187,Hydrogen fluoride,HF,7664-39-3,20.006,62520.000,-2.2302E+02,6.2970E-01,,,189.79,0.4288,292.67,0.5119,1
188,Hydrogen sulfide ,H2S,7783-06-4,34.081,64.666,4.9354E+04,2.2493E+01,-1.6230E+03,,187.68,0.6733,370.00,4.9183,2
189,Isobutyric acid,C4 H8O2,79-31-2,88.105,127540.000,-6.5350E+01,8.2867E-01,,,270.00,1.7031,427.65,2.5114,1
190,Isopropyl amine,C3 H9N,75-31-0,59.110,-32469.000,1.9771E+03,-7.0145E+00,8.6913E-03,,177.95,1.4621,320.00,1.6671,1
191,Malonic acid,C3 H4O4,141-82-2,104.061,157850.000,-4.1619E+01,4.2817E-01,,,407.95,2.1213,603.75,2.8880,1
192,Methacrylic acid,C4 H6O2,79-41-4,86.089,146290.000,-5.8590E+01,3.5820E-01,,,288.15,1.5915,434.15,1.8837,1
193,Methane ,CH4,74-82-8,16.042,65.708,3.8883E+04,-2.5795E+02,6.1407E+02,,90.69,0.5361,190.00,14.9780,2
194,Methanol,CH4O,67-56-1,32.042,105800.000,-3.6223E+02,9.3790E-01,,,175.47,0.7112,400.00,1.1097,1
195,N-Methyl acetamide,C3 H7NO,79-16-3,73.094,62600.000,2.4340E+02,,,,359.00,1.4998,538.50,1.9367,1
196,Methyl acetate,C3 H6O2,79-20-9,74.079,61260.000,2.7090E+02,,,,253.40,1.2991,373.40,1.6241,1
197,Methyl acetylene,C3 H4,74-99-7,40.064,79791.000,8.9490E+01,,,,200.00,0.9769,249.94,1.0216,1
198,Methyl acrylate,C4 H6O2,96-33-3,86.089,275500.000,-1.1470E+03,2.5680E+00,,,196.32,1.4930,353.35,1.9084,1
199,Methyl amine,CH5N,74-89-5,31.057,92520.000,3.7450E+01,,,,179.69,0.9925,266.82,1.0251,1
200,Methyl benzoate,C8 H8O2,93-58-3,136.148,125630.000,2.7975E+02,,,,260.75,1.9857,472.65,2.5785,1
201,"3-Methyl-1,2-butadiene",C5 H8,598-25-4,68.117,135370.000,-1.3334E+02,6.3868E-01,,,159.53,1.3035,314.56,1.5662,1
202,2-Methylbutane,C5 H12,78-78-4,72.149,108300.000,1.4600E+02,-2.9200E-01,1.5100E-03,,113.25,1.2328,310.00,1.7048,1
203,2-Methylbutanoic acid,C5 H10O2,116-53-0,102.132,74200.000,4.1740E+02,,,,321.50,2.0839,481.50,2.7518,1
204,3-Methyl-1-butanol,C5 H12O,123-51-3,88.148,247870.000,-1.1450E+03,3.4223E+00,,,155.95,1.5254,404.15,3.4411,1
205,2-Methyl-1-butene,C5 H10,563-46-2,70.133,149510.000,-2.4763E+02,9.1849E-01,,,135.58,1.3282,304.31,1.5921,1
206,2-Methyl-2-butene,C5 H10,513-35-9,70.133,151600.000,-2.6672E+02,9.0847E-01,,,139.39,1.3207,311.71,1.5673,1
207,2-Methyl-1-butene-3-yne,C5 H6,78-80-8,66.101,81919.000,1.8101E+02,,,,298.15,1.3589,305.40,1.3720,1
208,Methylbutyl ether,C5 H12O,628-28-4,88.148,177850.000,-1.7157E+02,7.4379E-01,,,157.48,1.6928,343.31,2.0661,1
209,Methylbutyl sulfide,C5 H12S,628-29-5,104.214,198390.000,-2.2035E+02,7.6096E-01,,,175.30,1.8315,510.00,2.8394,1
210,3-Methyl-1-butyne,C5 H8,598-23-2,68.117,105200.000,1.9110E+02,,,,200.00,1.4342,299.49,1.6243,1
211,Methyl butyrate,C5 H10O2,623-42-7,102.132,102930.000,1.2910E+02,6.2516E-01,,,277.25,1.8678,415.87,2.6474,1
212,Methylchlorosilane,CH5ClSi,993-00-0,80.589,47726.000,3.3840E+02,,,,250.00,1.3233,325.00,1.5771,1
213,Methylcyclohexane,C7 H14,108-87-2,98.186,131340.000,-6.3100E+01,8.1250E-01,,,146.58,1.3955,320.00,1.9435,1
214,1-Methylcyclohexanol,C7 H14O,590-67-0,114.185,50578.000,5.0859E+02,,,,300.00,2.0315,441.15,2.7494,1
215,cis-2-Methylcyclohexanol,C7 H14O,7443-70-1,114.185,118600.000,4.4707E+02,,,,300.00,2.5272,438.15,3.1448,1
216,trans-2-Methylcyclohexanol,C7 H14O,7443-52-9,114.185,118170.000,4.4799E+02,,,,300.00,2.5257,440.15,3.1535,1
217,Methylcyclopentane,C6 H12,96-37-7,84.159,155920.000,-4.9000E+02,2.1383E+00,-1.5585E-03,,130.73,1.2492,366.48,1.8682,1
218,1-Methylcyclopentene,C6 H10,693-89-0,82.144,53271.000,3.2792E+02,,,,200.00,1.1885,348.64,1.6760,1
219,3-Methylcyclopentene,C6 H10,1120-62-3,82.144,46457.000,3.4693E+02,,,,200.00,1.1584,338.05,1.6374,1
220,Methyldichlorosilane,CH4Cl2Si,75-54-7,115.034,27030.000,4.1300E+02,,,,250.00,1.3028,350.00,1.7158,1
221,Methylethyl ether,C3 H8O,540-67-0,60.095,85383.000,1.9908E+02,-6.1547E-02,,,160.00,1.1566,280.50,1.3638,1
222,Methylethyl ketone,C4 H8O,78-93-3,72.106,132300.000,2.0087E+02,-9.5970E-01,1.9533E-03,,186.48,1.4905,373.15,1.7511,1
223,Methylethyl sulfide,C3 H8S,624-89-5,76.161,161240.000,-2.8861E+02,7.8179E-01,,,167.23,1.3484,339.80,1.5344,1
224,Methyl formate,C2 H4O2,107-31-3,60.052,130200.000,-3.9600E+02,1.2100E+00,,,174.15,0.9793,304.90,1.2195,1
225,Methylisobutyl ether,C5 H12O,625-44-5,88.148,92919.000,3.2443E+02,,,,298.15,1.8965,350.00,2.0647,1
226,Methylisobutyl ketone,C6 H12O,108-10-1,100.159,183650.000,-7.9862E+01,6.0769E-01,,,189.15,1.9029,389.15,2.4460,1
227,Methyl Isocyanate,C2 H3NO,624-83-9,57.051,149770.000,-5.2982E+02,1.3499E+00,,,256.15,1.0263,366.00,1.3668,1
228,Methylisopropyl ether,C4 H10O,598-53-8,74.122,143440.000,-1.5407E+02,7.2550E-01,,,127.93,1.3560,310.00,1.6540,1
229,Methylisopropyl ketone,C5 H10O,563-80-4,86.132,191170.000,-3.3104E+02,9.8445E-01,,,180.15,1.6348,440.00,2.3610,1
230,Methylisopropyl sulfide,C4 H10S,1551-21-9,90.187,211170.000,-6.6197E+02,2.4216E+00,-2.1383E-03,,171.64,1.5808,357.91,1.8641,1
231,Methyl mercaptan,CH4S,74-93-1,48.107,115300.000,-2.6323E+02,6.0412E-01,,,150.18,0.8939,298.15,0.9052,1
232,Methyl methacrylate,C5 H8O2,80-62-6,100.116,255100.000,-9.3840E+02,2.4130E+00,,,224.95,1.6611,373.45,2.4118,1
233,2-Methyloctanoic acid,C9 H18O2,3004-93-1,158.238,226650.000,1.5421E+01,1.0578E+00,,,240.00,2.9128,518.15,5.1864,1
234,2-Methylpentane,C6 H14,107-83-5,86.175,142220.000,-4.7830E+01,7.3900E-01,,,119.55,1.4706,333.41,2.0842,1
235,Methyl pentyl ether,C6 H14O,628-80-8,102.175,251890.000,-4.6832E+02,1.2209E+00,,,176.00,2.0728,372.00,2.4663,1
236,2-Methylpropane,C4 H10,75-28-5,58.122,172370.000,-1.7839E+03,1.4759E+01,-4.7909E-02,5.8050E-05,113.54,0.9961,380.00,2.0725,1
237,2-Methyl-2-propanol,C4H10O,75-65-0,74.122,-925460.000,7.8949E+03,-1.7661E+01,1.3617E-02,,298.96,2.2016,460.00,2.9455,1
238,2-Methyl propene,C4H8,115-11-7,56.106,87680.000,2.1710E+02,-9.1530E-01,2.2660E-03,,132.81,1.0568,343.15,1.4596,1
239,Methyl propionate,C4H8O2,554-12-1,88.105,71140.000,3.3550E+02,,,,300.00,1.7179,390.00,2.0198,1
240,Methylpropyl ether,C4H10O,557-17-5,74.122,144110.000,-1.0209E+02,5.8113E-01,,,133.97,1.4086,312.20,1.6888,1
241,Methylpropyl sulfide,C4H10S,3877-15-4,90.187,179850.000,-2.6410E+02,7.9202E-01,,,160.17,1.5787,368.69,1.9014,1
242,Methylsilane,CH6Si,992-94-9,46.144,113470.000,,,,,298.15,1.1347,298.15,1.1347,1
243,alpha-Methyl styrene,C9H10,98-83-9,118.176,76822.000,4.2160E+02,,,,249.95,1.8220,438.65,2.6176,1
244,Methyl tert-butyl ether,C5H12O,1634-04-4,88.148,134300.000,9.4356E+01,-3.2000E-03,9.7950E-04,,164.55,1.5410,328.18,1.9954,1
245,Methyl vinyl ether,C3H6O,107-25-5,58.079,73600.000,1.8470E+02,,,,151.15,1.0152,278.65,1.2507,1
246,Naphthalene,C10H8,91-20-3,128.171,29800.000,5.2750E+02,,,,353.43,2.1623,491.14,2.8888,1
247,Neon,Ne,7440-01-9,20.180,1034100.000,-1.3877E+05,7.1540E+03,-1.6255E+02,1.3841E+00,24.56,0.3666,40.00,0.6980,1
248,Nitroethane,C2H5NO2,79-24-3,75.067,187740.000,-4.9760E+02,1.0691E+00,,,183.63,1.3242,387.22,1.5536,1
249,Nitrogen,N2,7727-37-9,28.013,281970.000,-1.2281E+04,2.4800E+02,-2.2182E+00,7.4902E-03,63.15,0.5593,112.00,0.7960,1
250,Nitrogen trifluoride,F3N,7783-54-2,71.002,101400.000,-6.8211E+02,3.8912E+00,,,117.00,0.7486,175.50,1.0154,1
251,Nitromethane,CH3NO2,75-52-5,61.040,116270.000,-1.3530E+02,3.4500E-01,,,244.60,1.0382,473.15,1.2949,1
252,Nitrous oxide,N2O,10024-97-2,44.013,67556.000,5.4373E+01,,,,182.30,0.7747,200.00,0.7843,1
253,Nitric oxide,NO,10102-43-9,30.006,-2979600.000,7.6602E+04,-6.5259E+02,1.8879E+00,,109.50,0.6229,150.00,1.9909,1
254,Nonadecane,C19H40,629-92-5,268.521,342570.000,7.6208E+02,2.0481E-01,,,305.04,5.9409,603.05,8.7663,1
255,Nonanal,C9H18O,124-19-6,142.239,136820.000,5.3129E+02,,,,255.15,2.7238,468.15,3.8554,1
256,Nonane,C9H20,111-84-2,128.255,383080.000,-1.1398E+03,2.7101E+00,,,219.66,2.6348,325.00,2.9890,1
257,Nonanoic acid,C9H18O2,112-05-0,158.238,224336.000,4.9726E+01,9.8130E-01,,,285.55,3.1855,528.75,5.2498,1
258,1-Nonanol,C9H20O,143-08-8,144.255,10483000.000,-1.1522E+05,4.7687E+02,-8.5381E-01,5.6246E-04,310.00,3.5059,460.00,4.6494,1
259,2-Nonanol,C9H20O,628-99-9,144.255,329641.000,-1.0468E+03,3.6182E+00,,,238.15,2.8555,649.50,11.7608,1
260,1-Nonene,C9H18,124-11-8,126.239,254490.000,-2.9806E+02,1.1707E+00,,,191.91,2.4041,420.02,3.3583,1
261,Nonyl mercaptan,C9H20S,1455-21-6,160.320,265350.000,-4.6220E+01,7.9154E-01,,,253.05,3.0434,492.95,4.3491,1
262,1-Nonyne,C9H16,3452-09-3,124.223,253580.000,-3.6630E+02,1.4881E+00,,,223.15,2.4594,423.85,3.6566,1
263,Octadecane,C18H38,593-45-3,254.494,399430.000,3.7464E+02,5.8156E-01,,,301.31,5.6511,589.86,8.2276,1
264,Octanal,C8H16O,124-13-0,128.212,130650.000,4.6361E+02,,,,246.00,2.4470,447.15,3.3795,1
265,Octane,C8H18,111-65-9,114.229,224830.000,-1.8663E+02,9.5891E-01,,,216.38,2.2934,460.00,3.4189,1
266,Octanoic acid,C8H16O2,124-07-2,144.211,205260.000,4.4392E+01,8.9560E-01,,,289.65,2.9326,512.85,4.6358,1
267,1-Octanol,C8H18O,111-87-5,130.228,571370.000,-4.8490E+03,1.9725E+01,-2.1532E-02,,250.00,2.5550,467.10,4.1566,1
268,2-Octanol,C8H18O,123-96-6,130.228,319198.000,-1.0422E+03,3.5294E+00,,,241.55,2.7338,452.90,5.7113,1
269,2-Octanone,C8H16O,111-13-7,128.212,300400.000,-4.2620E+02,1.1172E+00,,,252.86,2.6406,500.00,3.6660,1
270,3-Octanone,C8H16O,106-68-3,128.212,289980.000,-4.1727E+02,1.2218E+00,,,255.55,2.6314,440.65,3.4335,1
271,1-Octene,C8H16,111-66-0,112.213,509420.000,-4.2791E+03,2.1477E+01,-4.4462E-02,3.5028E-05,171.45,2.1327,394.41,2.8235,1
272,Octyl mercaptan,C8H18S,111-88-6,146.294,240040.000,-3.3198E+01,6.7889E-01,,,240.00,2.7118,472.19,3.7573,1
273,1-Octyne,C8H14,629-05-0,110.197,42642.000,8.8667E+02,-6.9315E-01,,,200.00,1.9225,399.35,2.8619,1
274,Oxalic acid,C2H2O4,144-62-7,90.035,175510.000,-3.8136E+02,6.4623E-01,,,462.65,1.3740,603.00,1.8052,1
275,Oxygen,O2,7782-44-7,31.999,175430.000,-6.1523E+03,1.1392E+02,-9.2382E-01,2.7963E-03,54.36,0.5365,142.00,0.9066,1
276,Ozone,O3,10028-15-6,47.998,60046.000,2.8116E+02,,,,90.00,0.8535,150.00,1.0222,1
277,Pentadecane,C15H32,629-62-9,212.415,346910.000,2.1954E+02,6.5632E-01,,,283.07,4.6165,543.84,6.6042,1
278,Pentanal,C5H10O,110-62-3,86.132,112050.000,2.5778E+02,,,,200.00,1.6361,376.15,2.0901,1
279,Pentane,C5H12,109-66-0,72.149,159080.000,-2.7050E+02,9.9537E-01,,,143.42,1.4076,390.00,2.0498,1
280,Pentanoic acid,C5H10O2,109-52-4,102.132,145050.000,2.8344E+01,6.3720E-01,,,239.15,1.8827,458.95,2.9228,1
281,1-Pentanol,C5H12O,71-41-0,88.148,201200.000,-6.5130E+02,2.2750E+00,,,200.14,1.6198,389.15,2.9227,1
282,2-Pentanol,C5H12O,6032-29-7,88.148,251596.000,-1.0285E+03,3.2631E+00,,,200.00,1.7642,561.00,7.0158,1
283,2-Pentanone,C5H10O,107-87-9,86.132,194590.000,-2.6386E+02,7.6808E-01,,,196.29,1.7239,375.46,2.0380,1
284,3-Pentanone,C5H10O,96-22-0,86.132,193020.000,-1.7643E+02,5.6690E-01,,,234.18,1.8279,375.14,2.0661,1
285,1-Pentene,C5H10,109-67-1,70.133,156100.000,-4.5694E+02,2.2550E+00,-3.1630E-03,2.3800E-06,108.02,1.2939,350.00,1.7251,1
286,2-Pentyl mercaptan,C5H12S,2084-19-7,104.214,188200.000,-1.4084E+02,6.3581E-01,,,160.75,1.8199,385.15,2.2827,1
287,Pentyl mercaptan,C5H12S,110-66-7,104.214,213760.000,-3.2440E+02,9.4720E-01,,,197.45,1.8664,399.79,2.3546,1
288,1-Pentyne,C5H8,627-19-0,68.117,86200.000,2.5660E+02,,,,200.00,1.3752,313.33,1.6660,1
289,2-Pentyne,C5H8,627-21-4,68.117,68671.000,2.4666E+02,,,,200.00,1.1800,329.27,1.4989,1
290,Phenanthrene,C14H10,85-01-8,178.229,103370.000,5.2703E+02,,,,372.39,2.9963,500.00,3.6688,1
291,Phenol,C6H6O,108-95-2,94.111,101720.000,3.1761E+02,,,,314.06,2.0147,425.00,2.3670,1
292,Phenyl isocyanate,C7H5NO,103-71-9,119.121,60834.000,2.1589E+02,2.9552E-01,,,243.15,1.3080,489.75,2.3745,1
293,Phthalic anhydride,C8H4O3,85-44-9,148.116,145400.000,2.5240E+02,,,,404.15,2.4741,557.65,2.8615,1
294,Propadiene,C3H4,463-49-0,40.064,66230.000,9.8275E+01,,,,200.00,0.8589,238.65,0.8968,1
295,Propane ,C3H8,74-98-6,44.096,62.983,1.1363E+05,6.3321E+02,-8.7346E+02,,85.47,0.8488,360.00,2.6079,2
296,1-Propanol,C3H8O,71-23-8,60.095,158760.000,-6.3500E+02,1.9690E+00,,,146.95,1.0797,400.00,2.1980,1
297,2-Propanol,C3H8O,67-63-0,60.095,471710.000,-4.1721E+03,1.4745E+01,-1.4400E-02,,185.26,1.1329,355.30,2.0487,1
298,Propenylcyclohexene,C9H14,13511-13-2,122.207,201400.000,-4.5060E+02,1.7053E+00,,,199.00,1.7926,431.65,3.2463,1
299,Propionaldehyde,C3H6O,123-38-6,58.079,99306.000,1.1573E+02,,,,200.00,1.2245,328.75,1.3735,1
300,Propionic acid,C3H6O2,79-09-4,74.079,213660.000,-7.0270E+02,1.6605E+00,,,252.45,1.4209,414.32,2.0756,1
301,Propionitrile,C3H5N,107-12-0,55.079,118190.000,-1.2098E+02,4.2075E-01,,,180.26,1.1005,370.50,1.3112,1
302,Propyl acetate,C5H10O2,109-60-4,102.132,83400.000,3.8410E+02,,,,274.70,1.8891,404.70,2.3885,1
303,Propyl amine,C3H9N,107-10-8,59.110,139530.000,7.8000E+01,,,,188.36,1.5422,340.00,1.6605,1
304,Propylbenzene,C9H12,103-65-1,120.192,174380.000,-1.0180E+02,7.9000E-01,,,173.55,1.8051,432.39,2.7806,1
305,Propylene,C3H6,115-07-1,42.080,114140.000,-3.4372E+02,1.0905E+00,,,87.89,0.9235,225.45,0.9208,1
306,Propyl formate,C4H8O2,110-74-7,88.105,75700.000,3.2610E+02,,,,298.15,1.7293,398.15,2.0554,1
307,2-Propyl mercaptan,C3H2S,75-33-2,76.161,138390.000,-1.1711E+02,4.7059E-01,,,142.61,1.3126,350.00,1.5505,1
308,Propyl mercaptan,C3H8S,107-03-9,76.161,167330.000,-3.1910E+02,8.1270E-01,,,159.95,1.3708,340.87,1.5299,1
309,"1,2-Propylene glycol",C3H8O2,57-55-6,76.094,58080.000,4.4520E+02,,,,213.15,1.5297,460.75,2.6321,1
310,Quinone,C6H4O2,106-51-4,108.095,45810.000,3.6833E+02,,,,388.85,1.8904,683.00,2.9738,1
311,Silicon tetrafluoride,F4Si,7783-61-1,104.079,829380.000,-7.3315E+03,1.9203E+01,,,186.35,1.3000,253.15,2.0403,1
312,Styrene,C8H8,100-42-5,104.149,113340.000,2.9020E+02,-6.0510E-01,1.3567E-03,,242.54,1.6749,418.31,2.2816,1
313,Succinic acid,C4H6O4,110-15-6,118.088,244770.000,-2.3696E+02,6.3148E-01,,,460.65,2.6961,604.50,3.3228,1
314,Sulfur dioxide,O2S,7446-09-5,64.064,85743.000,5.7443E+00,,,,197.67,0.8688,350.00,0.8775,1
315,Sulfur hexafluoride,F6S,2551-62-4,146.055,119500.000,,,,,230.15,1.1950,230.15,1.1950,1
316,Sulfur trioxide,O3S,7446-11-9,80.063,258090.000,,,,,303.15,2.5809,303.15,2.5809,1
317,Terephthalic acid,C8H6O4,100-21-0,166.131,,,,,,,,,,1
318,o-Terphenyl,C18H14,84-15-1,230.304,182900.000,6.3509E+02,,,,329.35,3.9207,609.15,5.6977,1
319,Tetradecane,C14H30,629-59-4,198.388,353140.000,2.9130E+01,8.6116E-01,,,279.01,4.2831,526.73,6.0741,1
320,Tetrahydrofuran,C4H8O,109-99-9,72.106,171730.000,-8.0047E+02,2.8934E+00,-2.5015E-03,,164.65,1.0721,339.12,1.3546,1
321,"1,2,3,4-Tetrahydronaphthalene",C10H12,119-64-2,132.202,81760.000,4.5538E+02,,,,237.38,1.8986,480.77,3.0069,1
322,Tetrahydrothiophene,C4H8S,110-01-0,88.171,123300.000,-1.3010E+02,6.2290E-01,,,176.98,1.1979,394.27,1.6883,1
323,"2,2,3,3-Tetramethylbutane",C8H18,594-82-1,114.229,43326.000,6.3073E+02,,,,375.41,2.8011,426.00,3.1202,1
324,Thiophene,C4H4S,110-02-1,84.140,84864.000,9.1725E+01,1.3243E-01,,,234.94,1.1372,357.31,1.3455,1
325,Toluene,C7H8,108-88-3,92.138,140140.000,-1.5230E+02,6.9500E-01,,,178.18,1.3507,500.00,2.3774,1
326,"1,1,2-Trichloroethane",C2H3Cl3,79-00-5,133.404,103350.000,1.5930E+02,,,,236.50,1.4102,300.00,1.5114,1
327,Tridecane,C13H28,629-50-5,184.361,350180.000,-1.0470E+02,1.0022E+00,,,267.76,3.9400,508.62,5.5619,1
328,Triethyl amine,C6H15N,121-44-8,101.190,111480.000,3.6813E+02,,,,200.00,1.8511,361.92,2.4471,1
329,Trimethyl amine,C3H9N,75-50-3,59.110,136050.000,-2.8800E+02,9.9130E-01,,,156.08,1.1525,276.02,1.3208,1
330,"1,2,3-Trimethylbenzene",C9H12,526-73-8,120.192,119450.000,3.2454E+02,,,,247.79,1.9987,449.27,2.6526,1
331,"1,2,4-Trimethylbenzene",C9H12,95-63-6,120.192,178800.000,-1.2847E+02,8.3741E-01,,,229.33,1.9338,350.00,2.3642,1
332,"2,2,4-Trimethylpentane",C8H18,540-84-1,114.229,95275.000,6.9670E+02,-1.3765E+00,2.1734E-03,,165.78,1.8285,520.00,3.9095,1
333,"2,3,3-Trimethylpentane",C8H18,560-21-4,114.229,388620.000,-1.4395E+03,3.2187E+00,,,280.00,2.3791,320.00,2.5757,1
334,"1,3,5-Trinitrobenzene",C6H3N3O6,99-35-4,213.105,40364.000,6.6446E+02,,,,398.40,3.0508,475.47,3.5629,1
335,"2,4,6-Trinitrotoluene",C7H5N3O6,118-96-7,227.131,133530.000,5.1464E+02,,,,354.00,3.1571,475.00,3.7798,1
336,Undecane,C11H24,1120-21-4,156.308,293980.000,-1.1498E+02,9.6936E-01,,,247.57,3.2493,433.42,4.2624,1
337,1-Undecanol,C11H24O,112-42-5,172.308,129450.000,-3.0395E+03,2.7927E+01,-6.1847E-02,4.3042E-05,289.05,3.9103,520.30,5.5127,1
338,Vinyl acetate,C4H6O2,108-05-4,86.089,136300.000,-1.0617E+02,7.5175E-01,,,259.56,1.5939,389.35,2.0892,1
339,Vinyl acetylene,C4H4,689-97-4,52.075,68720.000,1.3500E+02,,,,200.00,0.9572,278.25,1.0628,1
340,Vinyl chloride,C2H3Cl,75-01-4,62.498,-10320.000,3.2280E+02,,,,200.00,0.5424,400.00,1.1880,1
341,Vinyl trichlorosilane,C2H3Cl3Si,75-94-5,161.490,49516.000,4.2035E+02,,,,178.35,1.2449,363.85,2.0246,1
342,Water,H2O,7732-18-5,18.015,276370.000,-2.0901E+03,8.1250E+00,-1.4116E-02,9.3701E-06,273.16,0.7615,533.15,0.8939,1
343,m-Xylene,C8H10,108-38-3,106.165,133860.000,7.8754E+00,5.2265E-01,,,217.00,1.6018,540.15,2.9060,1
344,o-Xylene,C8H10,95-47-6,106.165,36500.000,1.0175E+03,-2.6300E+00,3.0200E-03,,247.98,1.7314,417.58,2.2269,1
345,p-Xylene,C8H10,106-42-3,106.165,-35500.000,1.2872E+03,-2.5990E+00,2.4260E-03,,286.41,1.7697,600.00,3.2520,1